Концентрация кислорода (мг/л) в водоемах- объектах мониторинга в 2014г.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
ДАТА;р.Керженец;БПК-5;р.Вишня;БПК-5;Колодец;БПК-5;оз.Н.Рустайское;БПК-5;;;;;;
ДАТА;р.Керженец;БПК-5;р.Вишня;БПК-5;Колодец;БПК-5;оз.Н.Рустайское;БПК-5;оз.Круглое;БПК-5;;;;
09.01.18;8.56;1.26;6.47;0.72;8.59;0.93;4.41;2.31;4.26;2.11;;;;
18.01.18;7.65;1.26;6.57;1.47;8.97;1;4.51;1.66;3.92;1.52;;;;
25.01.18;6.2;1;5.29;0.32;8.92;1.39;4.68;1.95;2.73;0.26;;;;
01.02.18;5.28;0.87;6.77;1.36;9.46;1.41;6.24;2.59;4.14;1.14;;;;
08.02.18;5.9;0.87;7.2;1.49;9.99;1.32;5.11;2.13;4.74;1.77;;;;
19.02.18;6.39;1.7;5.45;1.7;9.45;1.09;7.52;4.3;4.86;1.86;;;;
06.03.18;6.56;2.54;4.88;1.53;9.25;1.49;5.22;3.1;2.98;1.48;;;;
22.03.18;5.67;1.27;5.14;1.46;9.1;отр;6.26;3.38;4.43;1.18;;;;
28.03.18;6.68;1.23;7.55;2.44;9.96;2.36;4.76;1.7;5.07;2.55;;;;
04.04.18;7.68;1.83;6.09;1.19;9.22;1.72;7.73;4.23;8.58;5.54;;;;
18.04.18;9.48;2.13;8.98;1.7;8.14;1.61;8.64;2.46;5.96;2.52;;;;
28.04.18;8.1;1.15;7.9;1.35;8.21;1.4;8.33;2.49;7.95;3.22;;;;
10.05.18;8;2.2;7.36;1.53;8.68;1.6;7.05;2.82;7.26;2.11;;;;
16.05.18;8.15;1.13;7.79;2.59;9.42;1.68;7.53;2.2;8.54;3.64;;;;
23.05.18;7.24;0.81;7.02;1.02;10.46;0.85;7.84;1.63;7.6;3.25;;;;
30.05.18;8.18;отр;9.5;0.9;10.55;0.75;9.6;3.29;7.47;2.09;;;;
15.06.18;9.96;1.56;8.3;1;9;1.82;8.33;3.41;7.9;3.39;;;;
22.06.18;7.38;2.35;6.18;1.15;7.09;0.63;5.55;1.69;6.62;2.88;;;;
27.06.18;7.29;2.05;5.46;1.71;7.14;0.36;5.56;1.83;6.78;3.18;;;;
04.07.18;7.42;1.13;6.82;1.01;7.97;0.7;6.97;2.91;8.05;2.87;;;;
11.07.18;7.48;1.22;6.9;2;7.67;0.84;6.78;2.01;7.57;3.18;;;;
18.07.18;7.22;1.25;5.42;2.42;7.62;3.3;6.75;3.32;7.06;4.45;;;;
24.07.18;8.36;1.96;6.42;1.3;7.97;1.86;7.82;1.86;7.91;3.41;;;;
09.08.18;8.6;2;7.42;1.39;7.93;0.67;7.14;1.82;6.89;2.23;;;;
17.08.18;8.17;1.24;7.35;1.17;8.69;2.25;6.45;1.65;7.75;1.27;;;;
